CPU Usage: 0.872274%, Memory Usage: 25.721721%
CPU Usage: 0.124922%, Memory Usage: 25.721721%
CPU Usage: 2.122347%, Memory Usage: 25.708227%
CPU Usage: 0.750939%, Memory Usage: 25.707920%
CPU Usage: 1.373283%, Memory Usage: 25.707664%
CPU Usage: 0.000000%, Memory Usage: 25.707460%
CPU Usage: 0.875000%, Memory Usage: 25.691564%
CPU Usage: 0.750000%, Memory Usage: 25.685328%
CPU Usage: 1.809108%, Memory Usage: 25.700968%
CPU Usage: 0.124146%, Memory Usage: 25.697697%
CPU Usage: 0.813517%, Memory Usage: 25.706949%
CPU Usage: 0.062461%, Memory Usage: 25.706949%
CPU Usage: 1.866833%, Memory Usage: 25.697595%
CPU Usage: 0.875000%, Memory Usage: 25.703524%
CPU Usage: 1.125704%, Memory Usage: 25.680319%
CPU Usage: 0.062500%, Memory Usage: 25.680216%
CPU Usage: 1.059190%, Memory Usage: 25.680370%
CPU Usage: 0.438871%, Memory Usage: 25.680165%
CPU Usage: 1.561524%, Memory Usage: 25.696624%
CPU Usage: 0.250000%, Memory Usage: 25.696266%
CPU Usage: 0.313087%, Memory Usage: 25.708942%
CPU Usage: 0.312500%, Memory Usage: 25.705722%
CPU Usage: 0.936914%, Memory Usage: 25.692841%
CPU Usage: 1.622971%, Memory Usage: 25.702451%
CPU Usage: 0.312305%, Memory Usage: 25.705160%
CPU Usage: 1.057872%, Memory Usage: 25.717887%
CPU Usage: 0.124922%, Memory Usage: 25.705006%
CPU Usage: 1.497193%, Memory Usage: 25.730716%
CPU Usage: 0.313873%, Memory Usage: 25.727241%
CPU Usage: 1.123596%, Memory Usage: 25.733630%
CPU Usage: 0.187032%, Memory Usage: 25.721158%
CPU Usage: 0.750469%, Memory Usage: 25.733783%
CPU Usage: 0.688791%, Memory Usage: 25.730614%
CPU Usage: 1.314143%, Memory Usage: 25.740121%
CPU Usage: 0.125235%, Memory Usage: 25.736543%
CPU Usage: 0.934579%, Memory Usage: 25.723612%
CPU Usage: 0.187149%, Memory Usage: 25.723612%
CPU Usage: 1.496259%, Memory Usage: 25.728007%
CPU Usage: 0.998129%, Memory Usage: 25.721056%
CPU Usage: 1.060512%, Memory Usage: 25.723765%
CPU Usage: 0.187500%, Memory Usage: 25.723561%
CPU Usage: 0.999375%, Memory Usage: 25.745897%
CPU Usage: 0.875000%, Memory Usage: 25.735930%
CPU Usage: 1.682243%, Memory Usage: 25.768183%
CPU Usage: 0.626566%, Memory Usage: 25.773345%
CPU Usage: 0.187383%, Memory Usage: 25.770074%
CPU Usage: 0.804954%, Memory Usage: 25.770176%
CPU Usage: 0.558313%, Memory Usage: 25.766240%
CPU Usage: 1.865672%, Memory Usage: 25.792359%
CPU Usage: 0.373832%, Memory Usage: 25.769358%
CPU Usage: 1.061836%, Memory Usage: 25.775287%
CPU Usage: 0.062461%, Memory Usage: 25.775287%
CPU Usage: 1.005025%, Memory Usage: 25.778303%
CPU Usage: 1.124297%, Memory Usage: 25.778252%
